symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
BICO/USDT,2026-08-09 08:25,30m,6,0.066,0.05179,21.53030303030303,21.54219057718527,31.984848484848488,0.7575757575757582,43.49
BICO/USDT,2026-08-09 08:25,1h,12,0.066,0.04947,25.045454545454547,25.05680957430692,31.984848484848488,0.7575757575757582,43.49
BICO/USDT,2026-08-09 08:25,2h,24,0.066,0.04886,25.96969696969697,25.980911983032872,31.984848484848488,0.7575757575757582,43.49
BICO/USDT,2026-08-09 08:25,4h,48,0.066,0.04379,33.65151515151515,33.661566429328886,35.59090909090909,0.7575757575757582,43.49
BICO/USDT,2026-08-09 08:25,8h,96,0.066,0.04339,34.257575757575765,34.26753522193607,42.227272727272734,0.7575757575757582,43.49
BICO/USDT,2026-08-09 08:25,12h,144,0.066,0.04842,26.63636363636364,26.647477654900776,42.227272727272734,0.7575757575757582,43.49
BMT/USDT,2026-08-09 06:00,15m,3,0.01515,0.01496,1.2541254125412602,1.2541254125412602,3.6963696369636945,0.19801980198020142,29.44
BMT/USDT,2026-08-09 06:00,30m,6,0.01515,0.01703,-12.409240924092407,-12.409240924092407,3.6963696369636945,12.67326732673266,29.44
BMT/USDT,2026-08-09 06:00,1h,12,0.01515,0.02116,-39.66996699669968,-39.66996699669968,3.6963696369636945,42.44224422442243,29.44
BMT/USDT,2026-08-09 06:00,2h,24,0.01515,0.01879,-24.02640264026403,-24.02640264026403,3.6963696369636945,46.33663366336633,29.44
BMT/USDT,2026-08-09 06:00,4h,48,0.01515,0.02566,-69.37293729372936,-69.37293729372936,3.6963696369636945,70.16501650165017,29.44
BMT/USDT,2026-08-09 06:00,8h,96,0.01515,0.02177,-43.6963696369637,-43.6963696369637,3.6963696369636945,79.66996699669967,29.44
BMT/USDT,2026-08-09 06:00,12h,144,0.01515,0.03357,-121.5841584158416,-121.5841584158416,3.6963696369636945,141.91419141914193,29.44
BMT/USDT,2026-08-09 17:50,15m,3,0.03383,0.03461,-2.3056458764410372,-2.366163856847093,6.532663316582905,4.847768253029862,78.24
BMT/USDT,2026-08-09 17:50,30m,6,0.03383,0.0338,0.08867868755543083,0.029577048210597638,6.532663316582905,4.847768253029862,78.24
BMT/USDT,2026-08-09 17:50,1h,12,0.03383,0.03384,-0.029559562518483778,-0.0887311446317724,6.532663316582905,4.847768253029862,78.24
BMT/USDT,2026-08-09 17:50,2h,24,0.03383,0.0349,-3.1628731894768003,-3.223898254954158,6.532663316582905,10.434525569021574,78.24
BMT/USDT,2026-08-09 17:50,4h,48,0.03383,0.03375,0.2364765001477882,0.17746228926352425,7.744605379840371,21.903635826189774,78.24
BMT/USDT,2026-08-09 19:40,15m,3,0.03524,0.03522,0.056753688989782024,0.0851063829787101,1.9296254256526675,2.7525539160045365,65.34
BMT/USDT,2026-08-09 19:40,30m,6,0.03524,0.0352,0.11350737797956405,0.14184397163119006,7.43473325766174,3.178206583427931,65.34
BMT/USDT,2026-08-09 19:40,1h,12,0.03524,0.03958,-12.31555051078319,-12.283687943262414,7.43473325766174,14.301929625425661,65.34
BMT/USDT,2026-08-09 19:40,2h,24,0.03524,0.03321,5.760499432463102,5.787234042553173,11.43586833144154,17.026106696935294,65.34
BMT/USDT,2026-08-09 19:40,4h,48,0.03524,0.03155,10.471055618615207,10.496453900709207,14.443813847900117,17.026106696935294,65.34
